ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CMET,1990,5,1,-9999,-9999,-9999
USR0000CMET,1990,5,10,107,150,61
USR0000CMET,1990,5,11,133,206,72
USR0000CMET,1990,5,12,94,106,83
USR0000CMET,1990,5,13,-9999,-9999,-9999
USR0000CMET,1990,5,14,161,217,94
USR0000CMET,1990,5,15,145,222,78
USR0000CMET,1990,5,16,178,256,106
USR0000CMET,1990,5,17,163,228,100
USR0000CMET,1990,5,18,127,206,78
USR0000CMET,1990,5,19,107,178,56
USR0000CMET,1990,5,2,192,239,139
USR0000CMET,1990,5,20,134,200,72
USR0000CMET,1990,5,21,139,217,100
USR0000CMET,1990,5,22,147,233,106
USR0000CMET,1990,5,23,69,139,44
USR0000CMET,1990,5,24,96,183,33
USR0000CMET,1990,5,25,139,206,67
USR0000CMET,1990,5,26,146,211,111
USR0000CMET,1990,5,27,100,122,78
USR0000CMET,1990,5,28,87,128,50
USR0000CMET,1990,5,29,122,172,72
USR0000CMET,1990,5,3,211,272,150
USR0000CMET,1990,5,30,118,178,78
USR0000CMET,1990,5,31,108,167,67
USR0000CMET,1990,5,4,240,294,178
USR0000CMET,1990,5,5,234,311,167
USR0000CMET,1990,5,6,224,300,161
USR0000CMET,1990,5,7,207,272,133
USR0000CMET,1990,5,8,173,244,122
USR0000CMET,1990,5,9,168,228,122
USR0000CMET,1990,6,1,126,189,50
USR0000CMET,1990,6,10,218,272,161
USR0000CMET,1990,6,11,206,250,144
USR0000CMET,1990,6,12,196,256,139
USR0000CMET,1990,6,13,161,194,117
USR0000CMET,1990,6,14,133,167,72
USR0000CMET,1990,6,15,139,200,94
USR0000CMET,1990,6,16,144,211,94
USR0000CMET,1990,6,17,186,250,133
USR0000CMET,1990,6,18,178,250,128
USR0000CMET,1990,6,19,216,294,139
USR0000CMET,1990,6,2,173,256,94
USR0000CMET,1990,6,20,245,328,178
USR0000CMET,1990,6,21,266,350,211
USR0000CMET,1990,6,22,226,300,189
USR0000CMET,1990,6,23,219,300,167
USR0000CMET,1990,6,24,216,289,167
USR0000CMET,1990,6,25,209,272,167
USR0000CMET,1990,6,26,211,294,167
USR0000CMET,1990,6,27,194,250,172
USR0000CMET,1990,6,28,229,300,156
USR0000CMET,1990,6,29,229,283,172
USR0000CMET,1990,6,3,197,272,139
USR0000CMET,1990,6,30,-9999,-9999,-9999
USR0000CMET,1990,6,31,-9999,-9999,-9999
USR0000CMET,1990,6,4,208,278,144
USR0000CMET,1990,6,5,203,283,139
USR0000CMET,1990,6,6,194,272,128
USR0000CMET,1990,6,7,221,278,144
USR0000CMET,1990,6,8,254,311,167
USR0000CMET,1990,6,9,223,300,178
USR0000CMET,1990,7,1,-9999,-9999,-9999
USR0000CMET,1990,7,10,292,356,206
USR0000CMET,1990,7,11,285,350,233
USR0000CMET,1990,7,12,309,378,228
USR0000CMET,1990,7,13,315,383,244
USR0000CMET,1990,7,14,318,383,233
USR0000CMET,1990,7,15,299,350,228
USR0000CMET,1990,7,16,281,333,206
USR0000CMET,1990,7,17,277,339,206
USR0000CMET,1990,7,18,277,339,206
USR0000CMET,1990,7,19,297,350,233
USR0000CMET,1990,7,2,-9999,-9999,-9999
USR0000CMET,1990,7,20,293,350,206
USR0000CMET,1990,7,21,292,361,217
USR0000CMET,1990,7,22,288,361,217
USR0000CMET,1990,7,23,268,333,211
USR0000CMET,1990,7,24,218,289,172
USR0000CMET,1990,7,25,228,283,178
USR0000CMET,1990,7,26,241,300,167
USR0000CMET,1990,7,27,246,283,178
USR0000CMET,1990,7,28,-9999,-9999,-9999
USR0000CMET,1990,7,29,-9999,-9999,-9999
USR0000CMET,1990,7,3,228,294,150
USR0000CMET,1990,7,30,264,322,228
USR0000CMET,1990,7,31,278,333,206
USR0000CMET,1990,7,4,221,289,150
USR0000CMET,1990,7,5,228,283,150
USR0000CMET,1990,7,6,200,239,150
USR0000CMET,1990,7,7,247,300,189
USR0000CMET,1990,7,8,241,311,172
USR0000CMET,1990,7,9,257,328,183
USR0000CMET,1990,8,1,264,322,200
USR0000CMET,1990,8,10,288,361,244
USR0000CMET,1990,8,11,284,344,239
USR0000CMET,1990,8,12,271,350,217
USR0000CMET,1990,8,13,263,328,217
USR0000CMET,1990,8,14,238,306,189
USR0000CMET,1990,8,15,197,267,167
USR0000CMET,1990,8,16,204,278,139
USR0000CMET,1990,8,17,232,272,150
USR0000CMET,1990,8,18,193,228,150
USR0000CMET,1990,8,19,187,228,111
USR0000CMET,1990,8,2,271,333,206
USR0000CMET,1990,8,20,213,256,133
USR0000CMET,1990,8,21,213,283,139
USR0000CMET,1990,8,22,217,300,156
USR0000CMET,1990,8,23,226,306,167
USR0000CMET,1990,8,24,186,250,128
USR0000CMET,1990,8,25,145,217,111
USR0000CMET,1990,8,26,157,244,94
USR0000CMET,1990,8,27,189,272,122
USR0000CMET,1990,8,28,219,300,150
USR0000CMET,1990,8,29,231,317,178
USR0000CMET,1990,8,3,266,350,206
USR0000CMET,1990,8,30,202,283,161
USR0000CMET,1990,8,31,199,283,139
USR0000CMET,1990,8,4,272,350,217
USR0000CMET,1990,8,5,279,328,228
USR0000CMET,1990,8,6,302,378,244
USR0000CMET,1990,8,7,296,372,244
USR0000CMET,1990,8,8,291,339,233
USR0000CMET,1990,8,9,284,367,239
USR0000CMET,1990,9,1,214,289,150
USR0000CMET,1990,9,10,251,333,206
USR0000CMET,1990,9,11,245,328,206
USR0000CMET,1990,9,12,231,317,183
USR0000CMET,1990,9,13,217,272,178
USR0000CMET,1990,9,14,197,261,167
USR0000CMET,1990,9,15,187,261,133
USR0000CMET,1990,9,16,196,267,128
USR0000CMET,1990,9,17,201,261,139
USR0000CMET,1990,9,18,197,250,144
USR0000CMET,1990,9,19,179,222,139
USR0000CMET,1990,9,2,226,311,167
USR0000CMET,1990,9,20,205,289,139
USR0000CMET,1990,9,21,196,233,133
USR0000CMET,1990,9,22,181,256,128
USR0000CMET,1990,9,23,170,228,133
USR0000CMET,1990,9,24,176,228,122
USR0000CMET,1990,9,25,178,228,128
USR0000CMET,1990,9,26,172,239,128
USR0000CMET,1990,9,27,166,217,117
USR0000CMET,1990,9,28,183,244,128
USR0000CMET,1990,9,29,205,278,150
USR0000CMET,1990,9,3,220,300,167
USR0000CMET,1990,9,30,232,294,161
USR0000CMET,1990,9,31,-9999,-9999,-9999
USR0000CMET,1990,9,4,218,306,161
USR0000CMET,1990,9,5,233,311,183
USR0000CMET,1990,9,6,236,311,183
USR0000CMET,1990,9,7,238,317,189
USR0000CMET,1990,9,8,224,306,178
USR0000CMET,1990,9,9,233,339,167
USR0000CMET,1990,10,1,242,311,178
USR0000CMET,1990,10,10,188,261,133
USR0000CMET,1990,10,11,189,256,139
USR0000CMET,1990,10,12,196,272,139
USR0000CMET,1990,10,13,191,256,139
USR0000CMET,1990,10,14,188,256,133
USR0000CMET,1990,10,15,196,256,139
USR0000CMET,1990,10,16,178,244,133
USR0000CMET,1990,10,17,179,250,117
USR0000CMET,1990,10,18,168,206,117
USR0000CMET,1990,10,19,134,189,89
USR0000CMET,1990,10,2,206,267,156
USR0000CMET,1990,10,20,127,183,78
USR0000CMET,1990,10,21,162,228,94
USR0000CMET,1990,10,22,178,233,122
USR0000CMET,1990,10,23,178,228,111
USR0000CMET,1990,10,24,217,283,144
USR0000CMET,1990,10,25,224,283,167
USR0000CMET,1990,10,26,206,250,150
USR0000CMET,1990,10,27,199,272,139
USR0000CMET,1990,10,28,191,256,128
USR0000CMET,1990,10,29,164,217,117
USR0000CMET,1990,10,3,222,294,156
USR0000CMET,1990,10,30,153,194,100
USR0000CMET,1990,10,31,108,144,61
USR0000CMET,1990,10,4,243,322,189
USR0000CMET,1990,10,5,218,278,161
USR0000CMET,1990,10,6,176,233,122
USR0000CMET,1990,10,7,156,211,100
USR0000CMET,1990,10,8,172,239,106
USR0000CMET,1990,10,9,191,261,133
USR0000CMET,1990,11,1,75,117,33
USR0000CMET,1990,11,10,175,244,128
USR0000CMET,1990,11,11,188,250,139
USR0000CMET,1990,11,12,196,256,150
USR0000CMET,1990,11,13,193,256,144
USR0000CMET,1990,11,14,146,178,100
USR0000CMET,1990,11,15,121,156,94
USR0000CMET,1990,11,16,163,217,128
USR0000CMET,1990,11,17,129,178,89
USR0000CMET,1990,11,18,111,161,83
USR0000CMET,1990,11,19,88,117,50
USR0000CMET,1990,11,2,83,128,33
USR0000CMET,1990,11,20,54,83,33
USR0000CMET,1990,11,21,57,111,11
USR0000CMET,1990,11,22,84,150,33
USR0000CMET,1990,11,23,132,178,78
USR0000CMET,1990,11,24,153,206,83
USR0000CMET,1990,11,25,107,189,11
USR0000CMET,1990,11,26,32,72,-6
USR0000CMET,1990,11,27,38,72,-6
USR0000CMET,1990,11,28,82,139,11
USR0000CMET,1990,11,29,106,156,61
USR0000CMET,1990,11,3,85,144,33
USR0000CMET,1990,11,30,91,133,44
USR0000CMET,1990,11,31,-9999,-9999,-9999
USR0000CMET,1990,11,4,138,189,72
USR0000CMET,1990,11,5,129,183,61
USR0000CMET,1990,11,6,94,150,67
USR0000CMET,1990,11,7,81,144,44
USR0000CMET,1990,11,8,117,183,61
USR0000CMET,1990,11,9,154,222,83
USR0000CMET,1990,12,1,69,117,33
USR0000CMET,1990,12,10,151,200,111
USR0000CMET,1990,12,11,81,122,61
USR0000CMET,1990,12,12,54,78,44
USR0000CMET,1990,12,13,38,83,0
USR0000CMET,1990,12,14,44,83,-6
USR0000CMET,1990,12,15,3,56,-17
USR0000CMET,1990,12,16,18,56,-22
USR0000CMET,1990,12,17,16,39,-17
USR0000CMET,1990,12,18,33,89,-6
USR0000CMET,1990,12,19,-19,17,-50
USR0000CMET,1990,12,2,62,111,22
USR0000CMET,1990,12,20,-48,6,-67
USR0000CMET,1990,12,21,-65,0,-94
USR0000CMET,1990,12,22,-74,-22,-100
USR0000CMET,1990,12,23,-46,22,-83
USR0000CMET,1990,12,24,-117,-33,-161
USR0000CMET,1990,12,25,-149,-133,-167
USR0000CMET,1990,12,26,-143,-122,-189
USR0000CMET,1990,12,27,-102,-22,-172
USR0000CMET,1990,12,28,-67,33,-100
USR0000CMET,1990,12,29,-61,-11,-100
USR0000CMET,1990,12,3,104,156,39
USR0000CMET,1990,12,30,24,83,-17
USR0000CMET,1990,12,31,54,106,17
USR0000CMET,1990,12,4,126,172,78
USR0000CMET,1990,12,5,88,139,56
USR0000CMET,1990,12,6,131,194,56
USR0000CMET,1990,12,7,135,194,100
USR0000CMET,1990,12,8,142,189,94
USR0000CMET,1990,12,9,152,206,100
USR0000CMET,1991,1,1,90,139,56
USR0000CMET,1991,1,10,49,83,22
USR0000CMET,1991,1,11,64,94,33
USR0000CMET,1991,1,12,77,128,56
USR0000CMET,1991,1,13,66,128,44
USR0000CMET,1991,1,14,51,72,44
USR0000CMET,1991,1,15,46,83,28
USR0000CMET,1991,1,16,38,78,6
USR0000CMET,1991,1,17,91,150,33
USR0000CMET,1991,1,18,108,172,72
USR0000CMET,1991,1,19,90,139,50
USR0000CMET,1991,1,2,107,167,72
USR0000CMET,1991,1,20,64,111,39
USR0000CMET,1991,1,21,68,133,33
USR0000CMET,1991,1,22,45,89,22
USR0000CMET,1991,1,23,71,139,28
USR0000CMET,1991,1,24,73,128,33
USR0000CMET,1991,1,25,85,144,33
USR0000CMET,1991,1,26,69,117,33
USR0000CMET,1991,1,27,46,100,11
USR0000CMET,1991,1,28,47,100,11
USR0000CMET,1991,1,29,48,100,6
USR0000CMET,1991,1,3,59,94,33
USR0000CMET,1991,1,30,92,156,33
USR0000CMET,1991,1,31,98,150,67
USR0000CMET,1991,1,4,53,83,44
USR0000CMET,1991,1,5,52,100,17
USR0000CMET,1991,1,6,77,133,44
USR0000CMET,1991,1,7,72,117,50
USR0000CMET,1991,1,8,53,100,28
USR0000CMET,1991,1,9,52,83,17
USR0000CMET,1991,2,1,113,178,78
USR0000CMET,1991,2,10,120,178,83
USR0000CMET,1991,2,11,116,172,78
USR0000CMET,1991,2,12,101,167,61
USR0000CMET,1991,2,13,111,161,72
USR0000CMET,1991,2,14,148,217,94
USR0000CMET,1991,2,15,160,206,122
USR0000CMET,1991,2,16,105,150,61
USR0000CMET,1991,2,17,73,128,44
USR0000CMET,1991,2,18,77,133,22
USR0000CMET,1991,2,19,108,167,56
USR0000CMET,1991,2,2,86,111,39
USR0000CMET,1991,2,20,131,194,78
USR0000CMET,1991,2,21,148,200,100
USR0000CMET,1991,2,22,123,172,83
USR0000CMET,1991,2,23,104,167,61
USR0000CMET,1991,2,24,122,189,61
USR0000CMET,1991,2,25,143,206,100
USR0000CMET,1991,2,26,147,206,100
USR0000CMET,1991,2,27,108,150,67
USR0000CMET,1991,2,28,62,83,44
USR0000CMET,1991,2,29,-9999,-9999,-9999
USR0000CMET,1991,2,3,98,144,61
USR0000CMET,1991,2,30,-9999,-9999,-9999
USR0000CMET,1991,2,31,-9999,-9999,-9999
USR0000CMET,1991,2,4,117,178,72
USR0000CMET,1991,2,5,94,156,56
USR0000CMET,1991,2,6,103,156,50
USR0000CMET,1991,2,7,132,183,83
USR0000CMET,1991,2,8,129,189,83
USR0000CMET,1991,2,9,132,183,78
USR0000CMET,1991,3,1,42,61,28
USR0000CMET,1991,3,10,61,111,-6
USR0000CMET,1991,3,11,45,83,17
USR0000CMET,1991,3,12,46,111,-6
USR0000CMET,1991,3,13,31,67,0
USR0000CMET,1991,3,14,13,78,-22
USR0000CMET,1991,3,15,-6,33,-33
USR0000CMET,1991,3,16,37,100,-17
USR0000CMET,1991,3,17,34,72,-6
USR0000CMET,1991,3,18,14,28,0
USR0000CMET,1991,3,19,27,44,-6
USR0000CMET,1991,3,2,66,100,33
USR0000CMET,1991,3,20,7,39,-11
USR0000CMET,1991,3,21,18,44,-17
USR0000CMET,1991,3,22,40,94,-11
USR0000CMET,1991,3,23,60,106,22
USR0000CMET,1991,3,24,41,89,0
USR0000CMET,1991,3,25,2,17,-6
USR0000CMET,1991,3,26,-8,-6,-11
USR0000CMET,1991,3,27,26,50,-17
USR0000CMET,1991,3,28,61,111,17
USR0000CMET,1991,3,29,77,128,33
USR0000CMET,1991,3,3,68,100,44
USR0000CMET,1991,3,30,129,206,56
USR0000CMET,1991,3,31,132,183,78
USR0000CMET,1991,3,4,93,100,72
USR0000CMET,1991,3,5,43,83,6
USR0000CMET,1991,3,6,20,61,-11
USR0000CMET,1991,3,7,44,94,0
USR0000CMET,1991,3,8,74,128,33
USR0000CMET,1991,3,9,96,150,61
USR0000CMET,1991,4,1,63,94,44
USR0000CMET,1991,4,10,75,122,28
USR0000CMET,1991,4,11,80,139,17
USR0000CMET,1991,4,12,101,150,44
USR0000CMET,1991,4,13,126,183,72
USR0000CMET,1991,4,14,114,178,72
USR0000CMET,1991,4,15,77,122,44
USR0000CMET,1991,4,16,63,117,33
USR0000CMET,1991,4,17,102,150,33
USR0000CMET,1991,4,18,99,139,56
USR0000CMET,1991,4,19,128,167,94
USR0000CMET,1991,4,2,80,150,39
USR0000CMET,1991,4,20,76,100,61
USR0000CMET,1991,4,21,98,161,61
USR0000CMET,1991,4,22,132,167,67
USR0000CMET,1991,4,23,112,144,67
USR0000CMET,1991,4,24,79,122,61
USR0000CMET,1991,4,25,81,139,11
USR0000CMET,1991,4,26,116,167,39
USR0000CMET,1991,4,27,119,189,61
USR0000CMET,1991,4,28,119,178,83
USR0000CMET,1991,4,29,134,217,94
USR0000CMET,1991,4,3,114,178,50
USR0000CMET,1991,4,30,105,194,61
USR0000CMET,1991,4,31,-9999,-9999,-9999
USR0000CMET,1991,4,4,141,206,83
USR0000CMET,1991,4,5,146,194,100
USR0000CMET,1991,4,6,121,172,61
USR0000CMET,1991,4,7,83,150,50
USR0000CMET,1991,4,8,80,128,39
USR0000CMET,1991,4,9,128,189,72
USR0000CMET,1991,5,1,39,78,17
USR0000CMET,1991,5,10,47,61,33
USR0000CMET,1991,5,11,72,72,72
USR0000CMET,1991,5,12,72,72,72
USR0000CMET,1991,5,13,-9999,-9999,-9999
USR0000CMET,1991,5,14,-9999,-9999,-9999
USR0000CMET,1991,5,15,-9999,-9999,-9999
USR0000CMET,1991,5,16,-9999,-9999,-9999
USR0000CMET,1991,5,17,-9999,-9999,-9999
USR0000CMET,1991,5,18,-9999,-9999,-9999
USR0000CMET,1991,5,19,-9999,-9999,-9999
USR0000CMET,1991,5,2,47,100,6
USR0000CMET,1991,5,20,150,178,122
USR0000CMET,1991,5,21,-9999,-9999,-9999
USR0000CMET,1991,5,22,148,178,117
USR0000CMET,1991,5,23,144,156,139
USR0000CMET,1991,5,24,167,167,167
USR0000CMET,1991,5,25,-9999,-9999,-9999
USR0000CMET,1991,5,26,-9999,-9999,-9999
USR0000CMET,1991,5,27,-9999,-9999,-9999
USR0000CMET,1991,5,28,-9999,-9999,-9999
USR0000CMET,1991,5,29,111,111,111
USR0000CMET,1991,5,3,104,167,44
USR0000CMET,1991,5,30,-9999,-9999,-9999
USR0000CMET,1991,5,31,-9999,-9999,-9999
USR0000CMET,1991,5,4,125,217,61
USR0000CMET,1991,5,5,137,167,111
USR0000CMET,1991,5,6,175,178,172
USR0000CMET,1991,5,7,139,139,139
USR0000CMET,1991,5,8,85,122,22
USR0000CMET,1991,5,9,33,89,6
USR0000CMET,1991,6,1,-9999,-9999,-9999
USR0000CMET,1991,6,10,-9999,-9999,-9999
USR0000CMET,1991,6,11,-9999,-9999,-9999
USR0000CMET,1991,6,12,-9999,-9999,-9999
USR0000CMET,1991,6,13,233,294,172
USR0000CMET,1991,6,14,212,283,144
USR0000CMET,1991,6,15,228,306,156
USR0000CMET,1991,6,16,226,294,156
USR0000CMET,1991,6,17,226,294,161
USR0000CMET,1991,6,18,232,294,161
USR0000CMET,1991,6,19,183,250,111
USR0000CMET,1991,6,2,-9999,-9999,-9999
USR0000CMET,1991,6,20,190,261,111
USR0000CMET,1991,6,21,192,267,128
USR0000CMET,1991,6,22,188,261,122
USR0000CMET,1991,6,23,188,250,122
USR0000CMET,1991,6,24,167,228,117
USR0000CMET,1991,6,25,166,233,100
USR0000CMET,1991,6,26,176,244,111
USR0000CMET,1991,6,27,146,200,117
USR0000CMET,1991,6,28,131,150,117
USR0000CMET,1991,6,29,169,239,117
USR0000CMET,1991,6,3,-9999,-9999,-9999
USR0000CMET,1991,6,30,221,311,128
USR0000CMET,1991,6,31,-9999,-9999,-9999
USR0000CMET,1991,6,4,-9999,-9999,-9999
USR0000CMET,1991,6,5,-9999,-9999,-9999
USR0000CMET,1991,6,6,-9999,-9999,-9999
USR0000CMET,1991,6,7,-9999,-9999,-9999
USR0000CMET,1991,6,8,-9999,-9999,-9999
USR0000CMET,1991,6,9,-9999,-9999,-9999
USR0000CMET,1991,8,1,265,328,211
USR0000CMET,1991,8,10,262,328,200
USR0000CMET,1991,8,11,277,350,200
USR0000CMET,1991,8,12,239,289,200
USR0000CMET,1991,8,13,277,344,206
USR0000CMET,1991,8,14,252,311,194
USR0000CMET,1991,8,15,213,283,172
USR0000CMET,1991,8,16,241,311,178
USR0000CMET,1991,8,17,237,311,183
USR0000CMET,1991,8,18,248,311,183
USR0000CMET,1991,8,19,252,322,194
USR0000CMET,1991,8,2,254,322,194
USR0000CMET,1991,8,20,257,322,194
USR0000CMET,1991,8,21,249,294,200
USR0000CMET,1991,8,22,243,300,206
USR0000CMET,1991,8,23,264,344,200
USR0000CMET,1991,8,24,301,372,222
USR0000CMET,1991,8,25,253,328,194
USR0000CMET,1991,8,26,221,283,167
USR0000CMET,1991,8,27,175,228,144
USR0000CMET,1991,8,28,192,267,128
USR0000CMET,1991,8,29,244,317,167
USR0000CMET,1991,8,3,244,311,189
USR0000CMET,1991,8,30,231,294,194
USR0000CMET,1991,8,31,239,322,183
USR0000CMET,1991,8,4,219,289,172
USR0000CMET,1991,8,5,214,289,156
USR0000CMET,1991,8,6,213,278,156
USR0000CMET,1991,8,7,229,300,161
USR0000CMET,1991,8,8,259,339,178
USR0000CMET,1991,8,9,266,339,194
USR0000CMET,1991,9,1,252,339,194
USR0000CMET,1991,9,10,157,222,94
USR0000CMET,1991,9,11,192,261,133
USR0000CMET,1991,9,12,210,267,156
USR0000CMET,1991,9,13,248,311,178
USR0000CMET,1991,9,14,238,306,183
USR0000CMET,1991,9,15,248,333,183
USR0000CMET,1991,9,16,272,339,206
USR0000CMET,1991,9,17,284,344,206
USR0000CMET,1991,9,18,313,356,261
USR0000CMET,1991,9,19,302,344,217
USR0000CMET,1991,9,2,294,361,211
USR0000CMET,1991,9,20,279,333,217
USR0000CMET,1991,9,21,-9999,-9999,-9999
USR0000CMET,1991,9,22,-9999,-9999,-9999
USR0000CMET,1991,9,23,-9999,-9999,-9999
USR0000CMET,1991,9,24,258,278,244
USR0000CMET,1991,9,25,261,311,233
USR0000CMET,1991,9,26,244,317,206
USR0000CMET,1991,9,27,238,294,189
USR0000CMET,1991,9,28,202,228,178
USR0000CMET,1991,9,29,254,311,200
USR0000CMET,1991,9,3,291,367,233
USR0000CMET,1991,9,30,288,333,256
USR0000CMET,1991,9,31,-9999,-9999,-9999
USR0000CMET,1991,9,4,292,361,239
USR0000CMET,1991,9,5,282,344,250
USR0000CMET,1991,9,6,267,322,233
USR0000CMET,1991,9,7,248,322,211
USR0000CMET,1991,9,8,233,306,189
USR0000CMET,1991,9,9,163,233,106
USR0000CMET,1991,10,1,274,328,222
USR0000CMET,1991,10,10,228,233,222
USR0000CMET,1991,10,11,277,294,250
USR0000CMET,1991,10,12,250,300,200
USR0000CMET,1991,10,13,209,222,194
USR0000CMET,1991,10,14,274,328,200
USR0000CMET,1991,10,15,223,244,206
USR0000CMET,1991,10,16,228,311,194
USR0000CMET,1991,10,17,203,211,194
USR0000CMET,1991,10,18,194,194,194
USR0000CMET,1991,10,19,227,283,189
USR0000CMET,1991,10,2,253,300,217
USR0000CMET,1991,10,20,227,300,172
USR0000CMET,1991,10,21,267,300,178
USR0000CMET,1991,10,22,151,206,111
USR0000CMET,1991,10,23,116,172,78
USR0000CMET,1991,10,24,96,161,61
USR0000CMET,1991,10,25,111,167,67
USR0000CMET,1991,10,26,62,83,50
USR0000CMET,1991,10,27,64,111,39
USR0000CMET,1991,10,28,68,94,33
USR0000CMET,1991,10,29,85,128,61
USR0000CMET,1991,10,3,-9999,-9999,-9999
USR0000CMET,1991,10,30,77,122,56
USR0000CMET,1991,10,31,102,156,61
USR0000CMET,1991,10,4,213,217,211
USR0000CMET,1991,10,5,250,311,211
USR0000CMET,1991,10,6,231,250,211
USR0000CMET,1991,10,7,223,294,194
USR0000CMET,1991,10,8,233,294,189
USR0000CMET,1991,10,9,246,300,189
USR0000CMET,1991,11,1,156,172,133
USR0000CMET,1991,11,10,-9999,-9999,-9999
USR0000CMET,1991,11,11,-9999,-9999,-9999
USR0000CMET,1991,11,12,189,222,133
USR0000CMET,1991,11,13,89,89,89
USR0000CMET,1991,11,14,58,83,33
USR0000CMET,1991,11,15,67,111,39
USR0000CMET,1991,11,16,56,72,44
USR0000CMET,1991,11,17,73,94,56
USR0000CMET,1991,11,18,127,139,100
USR0000CMET,1991,11,19,130,139,122
USR0000CMET,1991,11,2,191,194,189
USR0000CMET,1991,11,20,232,261,200
USR0000CMET,1991,11,21,-9999,-9999,-9999
USR0000CMET,1991,11,22,125,133,117
USR0000CMET,1991,11,23,-9999,-9999,-9999
USR0000CMET,1991,11,24,103,111,94
USR0000CMET,1991,11,25,103,106,100
USR0000CMET,1991,11,26,-9999,-9999,-9999
USR0000CMET,1991,11,27,46,50,39
USR0000CMET,1991,11,28,40,83,22
USR0000CMET,1991,11,29,53,89,17
USR0000CMET,1991,11,3,165,206,139
USR0000CMET,1991,11,30,24,72,6
USR0000CMET,1991,11,31,-9999,-9999,-9999
USR0000CMET,1991,11,4,142,150,133
USR0000CMET,1991,11,5,128,133,122
USR0000CMET,1991,11,6,233,233,233
USR0000CMET,1991,11,7,-9999,-9999,-9999
USR0000CMET,1991,11,8,-9999,-9999,-9999
USR0000CMET,1991,11,9,146,156,133
USR0000CMET,1991,12,1,-9999,-9999,-9999
USR0000CMET,1991,12,10,141,161,128
USR0000CMET,1991,12,11,52,61,44
USR0000CMET,1991,12,12,72,72,72
USR0000CMET,1991,12,13,94,122,56
USR0000CMET,1991,12,14,-9999,-9999,-9999
USR0000CMET,1991,12,15,-9999,-9999,-9999
USR0000CMET,1991,12,16,-9999,-9999,-9999
USR0000CMET,1991,12,17,-9999,-9999,-9999
USR0000CMET,1991,12,18,28,28,28
USR0000CMET,1991,12,19,16,22,11
USR0000CMET,1991,12,2,44,50,39
USR0000CMET,1991,12,20,-4,6,-11
USR0000CMET,1991,12,21,144,172,106
USR0000CMET,1991,12,22,125,139,111
USR0000CMET,1991,12,23,-9999,-9999,-9999
USR0000CMET,1991,12,24,-9999,-9999,-9999
USR0000CMET,1991,12,25,103,133,72
USR0000CMET,1991,12,26,-9999,-9999,-9999
USR0000CMET,1991,12,27,-9999,-9999,-9999
USR0000CMET,1991,12,28,-9999,-9999,-9999
USR0000CMET,1991,12,29,-9999,-9999,-9999
USR0000CMET,1991,12,3,50,61,39
USR0000CMET,1991,12,30,40,50,33
USR0000CMET,1991,12,31,-9999,-9999,-9999
USR0000CMET,1991,12,4,-9999,-9999,-9999
USR0000CMET,1991,12,5,-9999,-9999,-9999
USR0000CMET,1991,12,6,161,178,150
USR0000CMET,1991,12,7,22,22,17
USR0000CMET,1991,12,8,50,89,28
USR0000CMET,1991,12,9,87,122,39
USR0000CMET,1992,1,1,102,111,94
USR0000CMET,1992,1,10,56,61,50
USR0000CMET,1992,1,11,-9999,-9999,-9999
USR0000CMET,1992,1,12,39,72,17
USR0000CMET,1992,1,13,46,78,22
USR0000CMET,1992,1,14,-9999,-9999,-9999
USR0000CMET,1992,1,15,-9999,-9999,-9999
USR0000CMET,1992,1,16,-9999,-9999,-9999
USR0000CMET,1992,1,17,-9999,-9999,-9999
USR0000CMET,1992,1,18,-9999,-9999,-9999
USR0000CMET,1992,1,19,-9999,-9999,-9999
USR0000CMET,1992,1,2,-9999,-9999,-9999
USR0000CMET,1992,1,20,-9999,-9999,-9999
USR0000CMET,1992,1,21,-9999,-9999,-9999
USR0000CMET,1992,1,22,-9999,-9999,-9999
USR0000CMET,1992,1,23,-9999,-9999,-9999
USR0000CMET,1992,1,24,-9999,-9999,-9999
USR0000CMET,1992,1,25,-9999,-9999,-9999
USR0000CMET,1992,1,26,-9999,-9999,-9999
USR0000CMET,1992,1,27,-9999,-9999,-9999
USR0000CMET,1992,1,28,-9999,-9999,-9999
USR0000CMET,1992,1,29,-9999,-9999,-9999
USR0000CMET,1992,1,3,-9999,-9999,-9999
USR0000CMET,1992,1,30,161,200,133
USR0000CMET,1992,1,31,134,183,100
USR0000CMET,1992,1,4,-9999,-9999,-9999
USR0000CMET,1992,1,5,17,17,17
USR0000CMET,1992,1,6,-9999,-9999,-9999
USR0000CMET,1992,1,7,-9999,-9999,-9999
USR0000CMET,1992,1,8,39,44,33
USR0000CMET,1992,1,9,-9999,-9999,-9999
USR0000CMET,1992,2,1,88,117,50
USR0000CMET,1992,2,10,39,39,39
USR0000CMET,1992,2,11,70,100,22
USR0000CMET,1992,2,12,64,78,50
USR0000CMET,1992,2,13,43,61,22
USR0000CMET,1992,2,14,91,111,78
USR0000CMET,1992,2,15,8,11,6
USR0000CMET,1992,2,16,38,50,17
USR0000CMET,1992,2,17,43,67,28
USR0000CMET,1992,2,18,91,128,33
USR0000CMET,1992,2,19,113,156,89
USR0000CMET,1992,2,2,73,111,33
USR0000CMET,1992,2,20,117,161,94
USR0000CMET,1992,2,21,113,139,89
USR0000CMET,1992,2,22,111,167,89
USR0000CMET,1992,2,23,97,161,67
